shade_name,undertone,color_description,finish,availability
augmented reality,warm,"MAC Augmented Reality is a slightly warm-toned, dark orange with a semi-matte finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",matte,limited
authentic red,cool,"MAC Authentic Red is a moderately cool-toned, medium-dark red with a pearl finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",unknown,limited
avant garnet,cool,"MAC Avant Garnet is a moderately cool-toned, very dark red with a satin finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",satin,limited
babes and balls,cool,"MAC Babes and Balls is a very cool-toned, dark berry with a satin finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",satin,limited
babetown,warm,"MAC Babetown is a slightly warm-toned, light-medium pink with a cream finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",cream,limited
babys all right,neutral,"MAC Baby's All Right is a neutral-toned, medium mauve with a matte finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",matte,limited
bad girl riri,warm,"MAC Bad Girl RiRi is a moderately warm-toned, light-medium brown with a matte finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",matte,limited
bad n bare,warm,"MAC Bad 'n' Bare is a moderately warm-toned, light brown with a satin finish. It is a permanent lipstick that retails for $19.00 and contains 0.1 oz.",satin,permanent
barbecue,warm,"MAC Barbecue is a moderately warm-toned, medium-dark orange with a matte finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",matte,limited
bare bling,warm,"MAC Bare Bling is a very warm-toned, light beige with a natural finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",unknown,limited
baroque the internet,warm,"MAC Baroque the Internet is a very warm-toned, medium-dark pink with a satin finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",satin,limited
be silly,cool,"MAC Be Silly is a very cool-toned, medium-dark fuchsia with a matte finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",matte,limited
beach nut,warm,"MAC Beach Nut is a slightly warm-toned, medium-dark purple with a satin finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",satin,limited
beatrix,cool,"MAC Beatrix is a slightly cool-toned, dark burgundy with a satin finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",satin,limited
beauty,cool,"MAC Beauty is a slightly cool-toned, light pink with a natural finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",unknown,limited
berry tricky,cool,"MAC Berry Tricky is a very cool-toned, dark berry with a pearl finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",unknown,limited
betty boop red,cool,"MAC Betty Boop Red is a moderately cool-toned, medium-dark red with a satin finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",satin,limited
betty bright,warm,"MAC Betty Bright is a moderately warm-toned, light-medium coral with a cream finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",cream,limited
bi ceptual,warm,"MAC Bi-ceptual is a moderately warm-toned, light-medium beige with a natural finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",unknown,limited
bianca b,cool,"MAC Bianca B is a slightly cool-toned, light pink with a matte finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",matte,limited
bit of bubbly,warm,"MAC Bit of Bubbly is a moderately warm-toned, light peach with a natural finish. It is a limited edition lipstick that retails for $20.00 and contains 0.1 oz.",unknown,limited
bittersweetie,cool,"MAC Bittersweetie is a slightly cool-toned, dark berry with a satin finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",satin,limited
black night,warm,"MAC Black Night is a moderately warm-toned, dark black with a pearl finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",unknown,limited
blankety,warm,"MAC Blankety is a slightly warm-toned, medium beige with a pearl finish. It is a permanent lipstick that retails for $19.00 and contains 0.1 oz.",unknown,permanent
bloodstone,cool,"MAC Bloodstone is a very cool-toned, dark red with a pearl finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",unknown,limited
bloombox,warm,"MAC Bloombox is a very warm-toned, dark coral with a semi-matte finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",matte,limited
blue bang,cool,"MAC Blue Bang is a slightly cool-toned, medium-dark blue with a pearl finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",unknown,limited
blue blood,cool,"MAC Blue Blood is a very cool-toned, medium red with a matte finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",matte,limited
boca,warm,"MAC Boca is a very warm-toned, medium-dark pink with a satin finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",satin,limited
bombshell,warm,"MAC Bombshell is a slightly warm-toned, light-medium pink with a pearl finish. It is a permanent lipstick that retails for $19.00 and contains 0.1 oz.",unknown,permanent
bosom friend,warm,"MAC Bosom Friend is a slightly warm-toned, light beige with a natural finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",unknown,limited
both cheeks,cool,"MAC Both Cheeks is a very cool-toned, medium-dark fuchsia with a satin finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",satin,limited
bowl me over,warm,"MAC Bowl Me Over is a slightly warm-toned, medium-dark burgundy with a semi-matte finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",matte,limited
boyfriend stealer,warm,"MAC Boyfriend Stealer is a very warm-toned, dark berry with a natural finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",unknown,limited
brave,warm,"MAC Brave is a slightly warm-toned, light-medium pink with a satin finish. It is a permanent lipstick that retails for $19.00 and contains 0.1 oz.",satin,permanent
brave new bronze,unknown,"MAC Brave New Bronze has a  satin finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",satin,limited
brave red,warm,"MAC Brave Red is a moderately warm-toned, medium-dark red with a natural finish. It is a permanent lipstick that retails for $19.00 and contains 0.1 oz.",unknown,permanent
breathing fire,cool,"MAC Breathing Fire is a very cool-toned, dark fuchsia with a matte finish. It is a permanent lipstick that retails for $19.00 and contains 0.1 oz.",matte,permanent
brick o la,warm,"MAC Brick-o-la is a very warm-toned, medium plum with a natural finish. It is a permanent lipstick that retails for $19.00 and contains 0.1 oz.",unknown,permanent
bronx,warm,"MAC Bronx is a moderately warm-toned, dark beige with a matte finish. It is a permanent lipstick that retails for $19.00 and contains 0.1 oz.",matte,permanent
bronze shimmer,warm,"MAC Bronze Shimmer is a very warm-toned, medium-dark copper with a metallic finish. It is a permanent lipstick that retails for $19.00 and contains 0.1 oz.",unknown,permanent
bronzilla,unknown,"MAC Bronzilla has a  frost finish. It is a limited edition lipstick that retails for $21.00 and contains 0.1 oz.",unknown,limited
bunnybeams,warm,"MAC Bunnybeams is a slightly warm-toned, light-medium purple with a satin finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",satin,limited
burmese kiss,warm,"MAC Burmese Kiss is a moderately warm-toned, medium coral with a satin finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",satin,limited
burnished beige,warm,"MAC Burnished Beige is a very warm-toned, dark peach with a cream finish. It is a limited edition lipstick that retails for $21.00 and contains 0.1 oz.",cream,limited
bust out,cool,"MAC Bust Out is a cool-toned, purple with a luminous finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",unknown,limited
by design,warm,"MAC By Design is a moderately warm-toned, light-medium copper with a metallic finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",unknown,limited
by special order,cool,"MAC By Special Order is a very cool-toned, medium-dark red with a pearl finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",unknown,limited
caliente,warm,"MAC Caliente is a very warm-toned, dark plum with a metallic finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",unknown,limited
call the hairdresser,warm,"MAC Call the Hairdresser! is a moderately warm-toned, medium-dark coral with a natural finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",unknown,limited
calm heat,neutral,"MAC Calm Heat is a neutral-toned, light beige with a semi-matte finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",matte,limited
canal blue,cool,"MAC Canal Blue is a very cool-toned, medium-dark blue with a satin finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",satin,limited
candy cane,cool,"MAC Candy Cane is a very cool-toned, medium-dark red with a matte finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",matte,limited
candy yum yum,cool,"MAC Candy Yum Yum is a very cool-toned, light-medium fuchsia with a matte finish. It is a permanent lipstick that retails for $19.00 and contains 0.1 oz.",matte,permanent
cannes do,warm,"MAC Cannes Do is a moderately warm-toned, dark coral with a natural finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",unknown,limited
cant be tamed,warm,"MAC Can't Be Tamed is a moderately warm-toned, light green with a natural finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",unknown,limited
capricious,cool,"MAC Capricious is a moderately cool-toned, medium plum with a pearl finish. It is a permanent lipstick that retails for $19.00 and contains 0.1 oz.",unknown,permanent
captive,cool,"MAC Captive is a moderately cool-toned, medium plum with a satin finish. It is a permanent lipstick that retails for $19.00 and contains 0.1 oz.",satin,permanent
cardinal,neutral,"MAC Cardinal is a neutral-toned, medium red with a natural finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",unknown,limited
care to share,warm,"MAC Care to Share is a moderately warm-toned, very dark peach with a satin finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",satin,limited
carmine rouge,cool,"MAC Carmine Rouge is a very cool-toned, medium-dark red with a satin finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",satin,limited
carnal instinct,warm,"MAC Carnal Instinct is a moderately warm-toned, dark brown with a frost finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",unknown,limited
caro daur,unknown,"MAC Caro Daur is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",unknown,limited
catty,warm,"MAC Catty is a slightly warm-toned, light-medium pink with a natural finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",unknown,limited
cb96,warm,"MAC CB96 is a very warm-toned, very dark coral with a metallic finish. It is a permanent lipstick that retails for $19.00 and contains 0.1 oz.",unknown,permanent
charlotte,cool,"MAC Charlotte is a moderately cool-toned, medium red with a matte finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",matte,limited
charmed im sure,cool,"MAC Charmed, I'm Sure is a very cool-toned, dark red with a matte finish. It is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",matte,limited
chatterbox,warm,"MAC Chatterbox is a slightly warm-toned, medium-dark pink with a natural finish. It is a permanent lipstick that retails for $19.00 and contains 0.1 oz.",unknown,permanent
cheers all around,unknown,"MAC Cheers All Around is a limited edition lipstick that retails for $19.00 and contains 0.1 oz.",unknown,limited
cherish,warm,"MAC Cherish is a slightly warm-toned, very light brown with a satin finish. It is a permanent lipstick that retails for $19.00 and contains 0.1 oz.",satin,permanent
chestnut,cool,"MAC Chestnut is a slightly cool-toned, very dark brown with a satin finish. It is a permanent lipstick that retails for $19.00 and contains 0.1 oz.",satin,permanent
